policy_id,policy_country_iso_code,policy_title,policy_name,policy_jurisdiction,policy_supranational_region,policy_country,policy_subnational_region_or_state,policy_city,policy_type_of_policy_instrument,policy_sector_name,policy_description,policy_type,policy_stringency,policy_implementation_state,policy_date_of_decision,policy_start_date_of_implementation,policy_end_date_of_implementation,policy_high_impact,policy_objective,policy_source_or_references,impact_indicator_comments,impact_indicator_name_of_impact_indicator,impact_indicator_value,impact_indicator_base_year,impact_indicator_target_year
211003967,HUN,Governmental Decree No.343 of 2010 concerning the requisites and certification of sustainable biofuel production Hungary (2010),Governmental Decree No.343/2010 concerning the requisites and certification of sustainable biofuel production,Country,,Hungary,,,"Regulatory instruments, Obligation Schemes",Transport,Executive,Other low-carbon technologies and fuel switch,,In force,2010.0,,,,Mitigation,https://www.ecolex.org/details/legislation/governmental-decree-no-167-of-2011-amending-governmental-decree-no-343-of-2010-concerning-the-requisites-and-certification-of-sustainable-biofuel-production-lex-faoc110235/,,,,,
211004110,TTO,Innovation for Lasting Prosperity: Medium Term Policy Framework (MTPF) 2011-2014 Trinidad and Tobago (2011),Innovation for Lasting Prosperity: Medium Term Policy Framework (MTPF) 2011-2014,Country,,Trinidad and Tobago,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,Ended,2011.0,2011.0,2014.0,,Mitigation,https://www.finance.gov.tt/wp-content/uploads/2013/11/Medium-Term-Policy-Framework-2011-14.pdf,,,,,
211004229,COL,"Law 788/2002, establishing the Tax Reform Colombia (2002)",Law 788/2002 establishing the Tax Reform,Country,,Colombia,,,"Fiscal or financial incentives, Tax reflief","Electricity and heat, Renewables",Legislative. Tax excemptions for renewables,Renewables,,In force,2002.0,,,,Mitigation,https://climate-laws.org/geographies/colombia/laws/law-788-2002-establishing-the-tax-reform,,,,,
211004295,GTM,Law on Incentives for Development of Renewable Energy Projects (Decree of the Congress 52-2003) Guatemala (2003),Law on Incentives for Development of Renewable Energy Projects (Decree of the Congress 52-2003),Country,,Guatemala,,,"Fiscal or financial incentives, tax reflief, Market-based instruments, Green certificates","Electricity and heat, Renewables",Legislative,Renewables,,In force,2003.0,,,,Mitigation,https://www.climate-laws.org/geographies/guatemala/laws/law-on-incentives-for-development-of-renewable-energy-projects-decree-of-the-congress-52-2003,,,,,
211004304,DNK,Law on the Promotion of Renewable Energy; No. 1392/2008 Denmark (2009),Law on the Promotion of Renewable Energy; No. 1392/2008,Country,,Denmark,,,"Fiscal or financial incentives, tendering schemes, Barrier removal, Grid access and priority for renewables","Electricity and heat, Renewables",Legislative,Renewables,,In force,2009.0,,,,Mitigation,https://ens.dk/sites/ens.dk/files/Vindenergi/promotion_of_renewable_energy_act_-_extract.pdf,,,,,
211004310,PER,"Law to Promote a Market of Biofuels Fuels, Law No. 28054 and corresponding regulations specified in Federal Decree No. 013-2005-EM Peru (2003)","Law to Promote a Market of Biofuels Fuels, Law No. 28054 and corresponding regulations specified in Federal Decree No. 013-2005-EM",Country,,Peru,,,"Regulatory instruments, Obligation Schemes",Transport,Legislative,Other low-carbon technologies and fuel switch,,In force,2003.0,,,,Mitigation,https://climate-laws.org/geographies/peru/laws/law-to-promote-a-market-of-biofuels-fuels-law-no-28054-and-corresponding-regulations-specified-in-federal-decree-no-013-2005-em,,,,,
211004406,PHL,National Climate Change Action Plan Philippines (2011),National Climate Change Action Plan,Country,,Philippines,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2011.0,,,,Mitigation,http://extwprlegs1.fao.org/docs/pdf/phi152934.pdf,,,,,
211004407,IRL,National Climate Change Adaptation Framework Ireland (2012),National Climate Change Adaptation Framework,Country,,Ireland,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,Unknown,,In force,2012.0,,,,Adaptation,https://www.gov.ie/en/publication/df8e2-national-climate-change-adaptation-framework/,,,,,
211004408,CHL,National Climate Change Adaptation Plan Chile (2014),National Climate Change Adaptation Plan,Country,,Chile,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,Unknown,,In force,2014.0,,,,Adaptation,https://www.preventionweb.net/english/policies/v.php?id=58250&cid=35,,,,,
211004409,ESP,National Climate Change Adaptation Plan Spain (2006),National Climate Change Adaptation Plan,Country,,Spain,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,Unknown,,In force,2006.0,,,,Adaptation,https://climate-adapt.eea.europa.eu/metadata/publications/national-adaptation-plan-spain,,,,,
211004411,BEL,National Climate Change Adaptation Strategy Belgium (2010),National Climate Change Adaptation Strategy,Country,,Belgium,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,Unknown,,In force,2010.0,,,Unknown,Adaptation,http://www.lse.ac.uk/GranthamInstitute/law/national-climate-change-adaptation-strategy/,,,,,
211004412,GHA,National Climate Change Adaptation Strategy Ghana (2012),National Climate Change Adaptation Strategy,Country,,Ghana,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,Unknown,,In force,2012.0,,,,Adaptation,https://www.adaptation-undp.org/sites/default/files/downloads/ghana_national_climate_change_adaptation_strategy_nccas.pdf,,,,,
211004596,PER,"National Strategy on Climate Change, Executive Decree No. 086-2003-PCM Peru (2003)","National Strategy on Climate Change, Executive Decree No. 086-2003-PCM",Country,,Peru,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2003.0,,,,Mitigation,https://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2015/05/PERU.pdf,,,,,
211004842,PRT,"Resolution of Council of Ministers 93/2010, mandates the development of a new regulatory framework for post2010 climate policy in Portugal Portugal (2010)","Resolution of Council of Ministers 93/2010, mandates the development of a new regulatory framework",Country,,Portugal,,,"Climate strategy, Political and non-binding climate strategy",General,Executive,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2010.0,,,,Mitigation,https://climate-laws.org/geographies/portugal/policies/resolution-of-the-council-of-ministers-no-56-2015,,,,,
211003465,FIN,Act on the Supervision of the electricity and gas market (590/2013) Finland (2013),Act on the Supervision of the electricity and gas market (590/2013),Country,,Finland,,,"Policy support, Strategic planning, Regulatory instruments",Electricity and heat,Legislative,Unknown,,In force,2013.0,,,,Mitigation,https://www.ecolex.org/details/legislation/act-on-the-supervision-of-the-electricity-and-gas-market-982013590-lex-faoc131980/,,,,,
211004222,MAR,Law 47-09 on Energy efficiency Morocco (2011),Law 47-09 on Energy efficiency,Country,,Morocco,,,"Policy support, Strategic planning, Regulatory instruments, Auditing, Product standards","Electricity and heat, Buildings, Industry","Legislative
This law aims to increase energy efficiency in the use of energy sources, to avoid waste, to reduce the energy costs on the national economy, and to enhance sustainable development. 
In French: ""La présente loi a pour objet d’augmenter l’efficacité énergétique dans l’utilisation des sources d’énergie, éviter le gaspillage, atténuer le fardeau du coût de l’énergie sur l’économie nationale et contribuer au développement durable.""",Energy efficiency,,In force,2011.0,,,Unknown,Mitigation,http://www.mem.gov.ma/SitePages/TestesReglementaires/Loi47-09.pdf,,,,,
211004356,RWA,Ministerial Order No. 003/16.01 of 15 July 2010 Preventing Activities that Pollute the Atmosphere Rwanda (2010),Ministerial Order No. 003/16.01 Preventing Activities that Pollute the Atmosphere,Country,,Rwanda,,,"Regulatory Instruments, Codes and standards, Industrial air polution standards, Other mandatory requirements",General,Legislative,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2010.0,,,,Mitigation,https://www.climate-laws.org/geographies/rwanda/laws/ministerial-order-no-003-16-01-of-15-july-2010-preventing-activities-that-pollute-the-atmosphere,,,,,
211004379,JAM,Name of law The Natural Resources Conservation Authority (Air Quality) Regulations Jamaica (2002),Name of law The Natural Resources Conservation Authority (Air Quality) Regulations,Country,,Jamaica,,,"Regulatory Instruments, Codes and standards, Industrial codes and standards",Industry,Legislative. Amended 2006,"Energy service demand reduction and resource efficiency, Non-energy use",,In force,2002.0,,,,Mitigation,https://www.nepa.gov.jm/new/legal_matters/laws/,,,,,
211005320,AGO,Nationally Determined Contribution - NDC Angola (2021),Nationally Determined Contribution - NDC,Country,,Angola,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Angola submited an updated version of their NDC in may 2021, setting GHG emissions reduction targets for 2025. The unconditional target represents a reduction of 14% under a BAU scenario (equivalent to 15.4 MtCO2e reduction in that year), and an additional 10% reduction conditional on international support.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2025.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Angola%20First/NDC%20Angola.pdf,,,,,
211005322,MNE,Nationally Determined Contribution - NDC Montenegro (2021),Nationally Determined Contribution - NDC,Country,,Montenegro,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,GHG emissions reduction target of at least a 35% (excl. LULUCF) by 2030 compared to 1990 (base year). ,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,Mitigation,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Montenegro%20First/Updated%20NDC%20for%20Montenegro.pdf,,,,,
211005323,MAR,Nationally Determined Contribution - NDC Morocco (2021),Nationally Determined Contribution - NDC,Country,,Morocco,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Morocco submited an updated version of their NDC in may 2021, setting a new GHG emissions reduction target for 2030. The unconditional target represents a reduction of 18.3% under a BAU scenario (equivalent to 26.1 MtCO2e reduction in that year, with total expected emissions of 116.1 MtCO2e by 2030), and a conditional target of 45.5% reduction againts a BAU scenario (equivalent to 64.8 MtCO2e reduction with total expected emissions of 77.6 MtCO2e).","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Morocco%20First/Moroccan%20updated%20NDC%202021%20_Fr.pdf,,,,,
211005325,CAN,Nationally Determined Contribution - NDC Canada (2021),Nationally Determined Contribution - NDC,Country,,Canada,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Canada’s updated NDC is to reduce emissions by 40-45% below 2005 levels by 2030, increasing ambition against its previous NDC. Additionally, Canada committed to reducing its emissions to net-zero by 2050.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Canada%20First/Canada's%20Enhanced%20NDC%20Submission1_FINAL%20EN.pdf,,,,,
211005328,IDN,Nationally Determined Contribution - NDC Indonesia (2021),Nationally Determined Contribution - NDC,Country,,Indonesia,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,Indonesia has set an unconditional GHG emissions reduction target of 29% and conditional reduction target of up to 41% by 2030 against a BAU scenario. The BAU projection estimates emissions of 2.87 GtCO2e by 2030.,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Indonesia%20First/Updated%20NDC%20Indonesia%202021%20-%20corrected%20version.pdf,,,,,
211005329,ETH,Nationally Determined Contribution - NDC Ethiopia (2021),Nationally Determined Contribution - NDC,Country,,Ethiopia,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Ethiopia's 2021 updated NDC includes new BAU scenario projections and GHG emissions reductions targets. BAU GHG emissions projections for 2030 are estimted to be 403.5 MtCO2e. The NDC outlines an economy-wide unconditionl target of 14% (56 MtCO2e), and a conditional target of 68.8% (277.7 MtCO2e), with an estimated total emissions volume of 125.8 MtCO2e. ","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ethiopia%20First/Ethiopia's%20updated%20NDC%20JULY%202021%20Submission_.pdf,,,,,
211005331,ISR,Nationally Determined Contribution - NDC Israel (2021),Nationally Determined Contribution - NDC,Country,,Israel,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,Israel's NDC includes an unconditional economy-wide GHG emissions reduction target of 27% reduction by 2030 compared to 2015 levels (total emissions in 2030 of 58 MtCO2e under new target). This represents a significant upgrade relative to its 2015 target of 81.65 MtCO2e for 2030.,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/Pages/Party.aspx?party=ISR&prototype=1,,,,,
211005332,STP,Nationally Determined Contribution - NDC Sao Tome and Principe (2021),Nationally Determined Contribution - NDC,Country,,Sao Tome and Principe,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,Target of 109 ktCO2e GHG reduction by 2030. The target represents a significant increase compared to the 2015 target (57 ktCO2e). ,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Sao%20Tome%20and%20Principe%20First/Updated_NDC_STP_2021_EN_.pdf,,,,,
211005333,TZA,Nationally Determined Contribution - NDC Tanzania (2021),Nationally Determined Contribution - NDC,Country,,Tanzania,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,Tanzania's NDC sets out a target of 30-35% GHG emission reduction by 2030 compared to BAU scenario. Total reduction estimated to be 138-153 MtCO2e.,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/United%20Republic%20of%20Tanzania%20First%20NDC/TANZANIA_NDC_SUBMISSION_30%20JULY%202021.pdf,,,,,
211005334,SYC,Nationally Determined Contribution - NDC Seychelles (2021),Nationally Determined Contribution - NDC,Country,,Seychelles,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,Seychelle's updated NDC sets out a target of 26.4% GHG emission reduction by 2030 compared to a BAU scenario (a reduction of 293.8 ktCO2e). It additionally commits to reaching Net Zero by 2050.,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Seychelles%20First/Seychelles%20-%20NDC_Jul30th%202021%20_Final.pdf,,,,,
211005335,NAM,Nationally Determined Contribution - NDC Namibia (2021),Nationally Determined Contribution - NDC,Country,,Namibia,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Namibia's NDC sets out an unconditional target of 14% GHG emission reduction by 2030 compared to a BAU scenario. Conditional on international support, it pledges a further 77% reduction, totalling a 91% reduction. In absolute terms total emissions reduction would be  21.99 MtCO2e against estimated BAU emissions of 24.2 MtCO2e.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Namibia%20First/Namibia's%20Updated%20NDC_%20FINAL%2025%20July%202021.pdf,,,,,
211005336,MWI,Nationally Determined Contribution - NDC Malawi (2021),Nationally Determined Contribution - NDC,Country,,Malawi,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Malawi's NDC sets out an unconditional target of 6% GHG emission reduction by 2040 compared to a BAU scenario (2.1 MtCO2e reduction), and a conditional target of an additional 45% (totalling 51%), or 15.6 MtCO2e in absolute terms. ","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2040.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Malawi%20First/Malawi%20Updated%20NDC%20July%202021%20submitted.pdf,,,,,
211005337,LKA,Nationally Determined Contribution - NDC Sri Lanka (2021),Nationally Determined Contribution - NDC,Country,,Sri Lanka,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Sri Lanka's NDC sets out an unconditional GHG emission reduction target of 4% reduction by 2030 compared to a BAU scenario, and a conditional target of 10.5% reduction. It additionally commits to carbon neutrality by 2060. ","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Sri%20Lanka%20First/NDCs%20of%20Sri%20Lanka-2021.pdf,,,,,
211005338,MYS,Nationally Determined Contribution - NDC Malaysia (2021),Nationally Determined Contribution - NDC,Country,,Malaysia,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,Malaysia's NDC sets out an economy-wide carbon intensity target (against GDP) of 45% reduction by 2030 compared to 2005 levels,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Malaysia%20First/Malaysia%20NDC%20Updated%20Submission%20to%20UNFCCC%20July%202021%20final.pdf,,,,,
211005339,BRB,Nationally Determined Contribution - NDC Barbados (2021),Nationally Determined Contribution - NDC,Country,,Barbados,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Barbados' updated NDC sets out an unconditional target of a 35% reduction in GHG emissions (or 705 ktCO2e) compared to its business-as-usual (BAU) scenario by 2030, and a conditional target of 77% reduction (1.46 MtCO2e).","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Barbados%20First/2021%20Barbados%20NDC%20update%20-%2021%20July%202021.pdf,,,,,
211005340,SLE,Nationally Determined Contribution - NDC Sierra Leone (2021),Nationally Determined Contribution - NDC,Country,,Sierra Leone,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,Sierra Leone's NDC sets out a target of a 10% reduction of GHG emission by 2030 compared to its BAU scenario. ,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Sierra%20Leone%20First/210804%202125%20SL%20NDC%20(1).pdf,,,,,
211005341,UKR,Nationally Determined Contribution - NDC Ukraine (2021),Nationally Determined Contribution - NDC,Country,,Ukraine,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Ukraine's NDC sets out a target of 65% GHG emission reduction by 2030 compared to 1990 levels, or a 573.9 MtCO2e reduction. ","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ukraine%20First/Ukraine%20NDC_July%2031.pdf,,,,,
211005342,SOM,Nationally Determined Contribution - NDC Somalia (2021),Nationally Determined Contribution - NDC,Country,,Somalia,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"Somalia's NDC sets out a target of 30% GHG emission reduction by 2030 compared to its BAU projection of 107.4 MtCO2e, which amounts to a 32.2 MtCO2e reduction","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Somalia%20First/Final%20Updated%20NDC%20for%20Somalia%202021.pdf,,,,,
211005343,COD,"Nationally Determined Contribution - NDC Congo, the Democratic Republic of the (2021)",Nationally Determined Contribution - NDC,Country,,"Congo, the Democratic Republic of the",,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,"The Democratic Republic of the Congo's NDC sets out an unconditional GHG emission reduction target of 21.46% by 2030 against its BAU scenario (or a 3.28 MtCO2e reduction), and a conditional target of 32.19% reduction (or 4.92 MtCO2e).","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Congo%20First/CDN_Congo.pdf,,,,,
211005345,QAT,Nationally Determined Contribution - NDC Qatar (2021),Nationally Determined Contribution - NDC,Country,,Qatar,,,"Target, GHG reduction target, Political and non-binding GHG reduction target, Strategic planning",General,Qatar's NDC sets out an economy-wide GHG emission reduction target of 25% by 2030 against its BAU scenario. ,"Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Renewables",,In force,2021.0,,2030.0,,"Mitigation, Adaptation",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Qatar%20First/Qatar%20NDC.pdf,,,,,
