policy_id,policy_country_iso_code,policy_title,policy_name,policy_jurisdiction,policy_supranational_region,policy_country,policy_subnational_region_or_state,policy_city,policy_type_of_policy_instrument,policy_sector_name,policy_description,policy_type,policy_stringency,policy_implementation_state,policy_date_of_decision,policy_start_date_of_implementation,policy_end_date_of_implementation,policy_high_impact,policy_objective,policy_source_or_references,impact_indicator_comments,impact_indicator_name_of_impact_indicator,impact_indicator_value,impact_indicator_base_year,impact_indicator_target_year
211003059,BRA,Rota 2030 Mobility and Logistics Brazil (2018),Rota 2030 Mobility and Logistics,Country,,Brazil,,,"Tax relief, Vehicle fuel-economy and emissions standards","Transport, Heavy-duty vehicles, Light-duty vehicles","Rota 2030 replaces the expired Inovar-Auto Programme. However, the energy efficiency goals stipulated in Inovar-Auto, to be reached in 2017, remain valid until 2022. From 2023 onwards, a new minimum reduction of consumption compared to 2017 levels will be required. Targets differ per vehicle category: • 11% for cars and light commercial vehicles • 4.9% for 4x4 vehicles and large SUVs • 8.6% for light trucks or for vehicles up to 12 passengers.

According with article 8 of the law, the core aims of the programme are to increase in energy efficiency structural performance and availability of technologies, increase R&D programmes and to promote the use of biofuels and alternative forms of propulsion enhancement.","Energy efficiency, Other low-carbon technologies and fuel switch",,In force,2018.0,2018.0,2030.0,Unknown,,"https://www.rota2030.com.br/rota-2030-inovacao/

http://www.planalto.gov.br/ccivil_03/_Ato2015-2018/2018/Lei/L13755.htm",,,,,
211003060,BRA,Procedures and conditions for carrying out electric vehicle recharging activities Brazil (2018),Procedures and conditions for carrying out electric vehicle recharging activities,Country,,Brazil,,,Other mandatory requirements,"Transport, Low-emissions mobility","Normative Resolution 819 IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2018.0,,,Unknown,,https://www.iea.org/policies/7147-normative-resolution-819-on-procedures-and-conditions-for-carrying-out-electric-vehicle-recharging-activities?country=Brazil&qs=brazil,,,,,
211003061,BRA,Import tax relief for EVs Brazil (2018),Import tax relief for EVs,Country,,Brazil,,,Tax relief,"Transport, Low-emissions mobility","Resolution 97/2018
Import taxes for EVs have been reduced from 35% to 0%. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2018.0,,,Unknown,,https://www.iea.org/policies/8716-import-tax-for-evs-resolution-972018?country=Brazil&qs=brazil,,,,,
211003062,BRA,Import tax relief for Hybrid Vehicles Brazil (2014),Import tax relief for Hybrid Vehicles,Country,,Brazil,,,Tax relief,"Transport, Low-emissions mobility","Resolution No. 86/2014
With Resolution No. 86/2014 import taxes on EVs have been reduced from 35% to 0%, in an effort to increase sustainable mobility across MERCOSUR. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2014.0,,,Unknown,,https://www.iea.org/policies/8715-import-tax-reduction-for-hybrid-vehicles-resolution-no-862014?country=Brazil&qs=brazil,,,,,
211003063,BRA,Inovagro Programme Brazil (2019),Inovagro Programme,Country,,Brazil,,,"Direct investment, Product standards",Agriculture and forestry,"The programme offers direct finance aiming to support multiple goals. Throught the Brasilian development bank, the programme supports, for example, the installation of renewable energy provided that the energy supplies own demand. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,In force,2019.0,,,Unknown,,https://www.iea.org/policies/2665-incentive-programme-for-technological-innovation-in-agricultural-production?country=Brazil&qs=brazil,,,,,
211003111,ZAF,Vehicle fuel economy norms and standards South Africa (2005),Vehicle fuel economy norms and standards,Country,,South Africa,,,Vehicle fuel-economy and emissions standards,"Transport, Light-duty vehicles",,Energy efficiency,,In force,2005.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211003143,ZAF,White Paper on Renewable Energy South Africa (2003),White Paper on Renewable Energy,Country,,South Africa,,,"Information and education, Institutional creation, Strategic planning, Renewable energy target","Electricity and heat, Renewables",Medium-term target (10-year) of 10 000 GWh or 0.8 Mtoe RE contribution to the final energy consumption by 2013,Renewables,,Ended,2003.0,,,Unknown,,https://unfccc.int/files/meetings/seminar/application/pdf/sem_sup1_south_africa.pdf,,,,,
211003144,ZAF,Carbon budget South Africa (2015),Carbon budget,Country,,South Africa,,,CO2 taxes,Electricity and heat,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2015.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211003146,ZAF,Vehicle labelling scheme South Africa (2008),Vehicle labelling scheme,Country,,South Africa,,,Vehicle fuel-economy and emissions standards,"Transport, Light-duty vehicles",,Energy efficiency,,In force,2008.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211003149,ZAF,National Cleaner Production Centre incl. National Symbiosis Program and Industrial Energy Efficiency Project (IEE) South Africa (2002),National Cleaner Production Centre incl. National Symbiosis Program and Industrial Energy Efficiency Project (IEE),Country,,South Africa,,,"Voluntary approaches, Advice or aid in implementation, Information provision, Information and education",Industry,The National Cleaner Production Centre South Africa (NPCP-SA)promotes the implementation of energy efficiency measures in the industry sector and facilitated savings of 7.6 MtCO2ee between 2010 and 2016. The centre aims to raise awareness amongst companies for resource management and energy efficient production via trainings and energy consultancies. The NPCP-SA’s associated program Industrial Energy Efficiency Project (IEE)promotes energy management systems and corresponding certifications. A mandatory submission of energy management plans for enterprises whose annual energy consumption exceeds 180 TJ is still under discussion. The NCPC-SA further launched an industrial symbiosis program under which companies increase their resource efficiencies by exploiting synergies in production,Energy service demand reduction and resource efficiency,,In force,2002.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211003150,ZAF,Voluntary carbon budgets on company leve South Africa (2017),Voluntary carbon budgets on company leve,Country,,South Africa,,,"Voluntary approaches, Market-based instruments, GHG emissions allowances",Industry,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2017.0,,,Unknown,,https://climateactiontracker.org/documents/398/CAT_2018-11-27_ScalingUp_SouthAfrica_FullReport.pdf,,,,,
211003151,IND,"Ministry of Environment, Forest and Climate Change India (2014)","Ministry of Environment, Forest and Climate Change",Country,,India,,,Coordinating body for climate strategy,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2014.0,,,Unknown,,moef.gov.in,,,,,
211003152,IND,Solid waste management rules India (2016),Solid waste management rules,Country,,India,,,"Information provision, Information and education","Industry, Waste CH4",The Indian government revised the 2001 law related to MSW after 15 years and produced a new MSW law in 2016 under the Environmental (Protection) Act of 1986 for the proper management and utilization of MSW. This law is intended to make the community aware of ways to reduce waste generation and to involve locals in the proper management of waste and innovations of technology for recycling and energy recovery purposes,Non-energy use,,In force,2016.0,,,Unknown,,"https://www.nature.com/articles/s41598-018-21326-9
http://bbmp.gov.in/documents/10180/1920333/SWM-Rules-2016.pdf/27c6b5e4-5265-4aee-bff6-451f28202cc8",,,,,
211003153,IND,"Programme on Energy from Urban, Industrial, Agricultural Wastes/ Residues and Municipal Solid Waste India (2018)","Programme on Energy from Urban, Industrial, Agricultural Wastes/ Residues and Municipal Solid Waste",Country,,India,,,"Grants and subsidies, Loans","Industry, Waste CH4","The programme has the following objectives:
- To promote setting up of projects for recovery of energy in the form of Biogas / BioCNG / Power from Urban, Industrial and Agricultural Waste and Captive Power and Thermal use through Gasification in Industries- To promote setting up of projects for recovery of energy from Municipal Solid Waste (MSW) for feeding power into the grid and for meeting captive power, thermal and vehicular fuel requirements.
- To promote Biomass Gasifier for feeding power into the grid or meeting captive power and thermal needs of rice mills/other industries and villages","Other low-carbon technologies and fuel switch, Non-energy use",,In force,2018.0,,2021.0,Unknown,,"https://mnre.gov.in/waste-to-energy/schemes
https://mnre.gov.in/img/documents/uploads/file_s-1584425847955.pdf",,,,,
211003154,IND,Standards and Labelling Program (S&L) India (2006),Standards and Labelling Program (S&L),Country,,India,,,"Codes and standards, Product standards","Buildings, Appliances","""Standards and Labelling Scheme (S&L) was launched in 2006 by the Ministry of Power under the framework of the Energy Conservation Act of 2001. Since then, the Bureau of Energy Efficiency (BEE) has been promoting and facilitating its adoption through the prescription of MEPS and applying labels that are affixed to the product. The key objective of the S&L scheme is to provide the consumer an informed choice about the energy saving and consequent cost saving potentials of the respective products. Thus, the scheme enables the distinction between high-energy consuming versus efficient end-use equipment and appliances, thereby creating incentives and competitive dynamics for domestic market to shift towards more efficient appliances and equipment. "" IEA IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2006.0,,,Unknown,,https://www.iea.org/policies/1538-standards-and-labelling-program-sl?country=India&jurisdiction=National&page=2&qs=india&sector=Buildings,,,,,
211003155,IND,Eco-Niwas Samhita India (2018),Eco-Niwas Samhita,Country,,India,,,"Codes and standards, Building codes and standards","Buildings, Construction","The Eco Niwas Samhita, Part – I Building Envelope (Energy Conservation Building Code for Residential Sector) is developed and launched on 14th December, 2018. It been developed to set minimum building envelope performance standards to limit heat gains (for cooling dominated climates) and to limit heat loss (for heating dominated climate) as well as for ensuring adequate natural ventilation and day lighting. The code is applicable to all residential use building projects built on plot area ≥ 500 m2.",Energy efficiency,,In force,2018.0,,,Unknown,,https://beeindia.gov.in/content/ecbc-residential,,,,,
211003156,IND,Energy Efficiency Label for Residential Buildings India (2019),Energy Efficiency Label for Residential Buildings,Country,,India,,,"Comparison label, Information and education","Buildings, Appliances","The key objective of the programme is to make a transparent instrument over the energy performance of a home which will gradually lead to an effective model taken into consideration while deciding over the home prices in future. The objective of the labeling program is to make an energy performance of a home an instrument of comparison while deciding over the home prices in the future. It also aims to provide a benchmark to compare one house over the other on the energy efficiency standards to create a consumer-driven market transformation solution for energy efficiency in the housing sector.
This program is another step towards realizing the vision of an energy surplus India with 24*7 power to all. Proposed Labelling program will cover all types of residential buildings in India. All the envisaged objectives can be achieved through the proposed labeling mechanism by making it as a mandatory information required in any real estate transaction/leasing.",Energy efficiency,,In force,2019.0,,,Unknown,,https://beeindia.gov.in/content/ecbc-residential,,,,,
211003157,IND,Light-duty: Fuel Consumption and emissions standards India (2017),Light-duty: Fuel Consumption and emissions standards,Country,,India,,,Vehicle fuel-economy and emissions standards,"Transport, Light-duty vehicles","""Manufacturers must meet a new car fleet average target of 130 gCO2/km in April 2017 and 113 gCO2/km in April 2022, equivalent to a nominal percent reduction of 13% over this period."" IEA IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2017.0,,,Unknown,,https://www.iea.org/policies/8215-india-light-duty-fuel-consumption?country=India&jurisdiction=National&sector=Transport&status=In%20Force,,,,,
211003158,IND,Heavy-duty: Fuel Consumption and emissions standards India (2017),Heavy-duty: Fuel Consumption and emissions standards,Country,,India,,,Vehicle fuel-economy and emissions standards,"Transport, Heavy-duty vehicles","""The new standards include two phases of regulatory compliance. Phase 1 goes into effect April 1, 2018, while Phase 2 is effective beginning April 1, 2021. The regulatory classes affected by this rule are as follows (Vahan Sewa, 2017):
» Category M3: motor vehicles for the carriage of passengers, comprising nine or more seats in addition to the driver’s seat with GVW exceeding 5 tonnes
» Category N3: motor vehicles for the carriage of goods with GVW exceeding 12 tonnes"" IEA IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2017.0,,,Unknown,,https://www.iea.org/policies/8214-fuel-efficiency-standards-for-commercial-heavy-duty-vehicles-hdvs?country=India&jurisdiction=National&sector=Transport&status=In%20Force,,,,,
211003159,IND,National Urban Transport Policy India (2006),National Urban Transport Policy,Country,,India,,,"Infrastructure investments, Strategic planning",Transport,"The objective of this policy is to ensure safe, affordable, quick, comfortable, reliableand sustainable access for the growing number of city residents to jobs, education, recreationand such other needs within our cities. This is sought to be achieved by (1) Incorporating urban transportation as an important parameter at the urbanplanning stage rather than being a consequential requirement as well as (2) encouraging integrated land use and transport planning in all cities so that traveldistances are minimized and access to livelihoods, education, and other socialneeds, especially for the marginal segments of the urban population is improved. The policy last updated in 2014.","Other low-carbon technologies and fuel switch, Non-energy use",,In force,2006.0,,,Unknown,,"http://www.indiaenvironmentportal.org.in/files/TransportPolicy.pdf
https://www.urbantransportnews.com/wp-content/uploads/2018/08/National_Urban_Transport_Policy_2014.pdf",,,,,
211003163,ARG,Resolution 202/16 on Renewables Power Purchase Agreements Argentina (2016),Resolution 202/16 on Renewables Power Purchase Agreements,Country,,Argentina,,,Fiscal or financial incentives,"Electricity and heat, Renewables",Resolution 202/16 (2016),Renewables,,In force,2016.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003164,ARG,Resolution 281-E/17 on Long-term renewable energy market (MATER) Argentina (2017),Resolution 281-E/17 on Long-term renewable energy market (MATER),Country,,Argentina,,,Fiscal or financial incentives,"Electricity and heat, Renewables, Industry",Resolution 281-E/2017 (2017),Renewables,,In force,2017.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003165,ARG,Resolution 81/2019 on Grid expansion tenders Argentina (2019),Resolution 81/2019 on Grid expansion tenders,Country,,Argentina,,,"Infrastructure investments, Tendering schemes",Electricity and heat,Resolution 81/2019,Renewables,,In force,2019.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003166,ARG,Resolution 1-E/2017 and Provision 3/2018 on Energy management systems for industrial companies Argentina (2017),Provision 3/2018 as part of resolution 281-E/17 on Energy management systems for industrial companies,Country,,Argentina,,,"Auditing, Monitoring, Voluntary approaches",Industry,"Resolution 1-E/2017 establishes a discount of up to 20% on electricity prices for energy-intensive industries. Provision 3/2018 (2018, as part of Joint Resolution 1-E/2017)
Companies that want to benefit from reduced electicity price have to implement the ISO norm 50001 on energy management systems (i.e. develop a plan of action for energy management, establish targets for energy performance, and define indicators to monitor progress)",Energy efficiency,,Ended,2017.0,2018.0,2019.0,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003167,ARG,Resolution 319/99 on Energy labelling scheme for appliances Argentina (1999),Resolution 319/99 on Energy labelling scheme for appliances,Country,,Argentina,,,"Codes and standards, Performance label","Buildings, Appliances",Resolution 319/99 setting up an e,Energy efficiency,,In force,1999.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003168,ARG,Resolution 520/2018 on Regulation of solar thermal heaters Argentina (2018),Resolution 520/2018 on Regulation of solar thermal heaters,Country,,Argentina,,,"Grants and subsidies, Loans","Buildings, Heating and cooling",Resolution 520/2018,Renewables,,In force,2018.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003169,ARG,Resolution 423/18 Energy Efficiency and Renewable Energy in Social Housing Argentina (2018),Energy Efficiency and Renewable Energy in Social Housing,Country,,Argentina,,,"Grants and subsidies, Loans, Direct investment","Buildings, Heating and cooling, Hot water and cooking","In 2018, the government launched the project Energy Efficiency and Renewable Energy in Social Housing","Renewables, Energy efficiency",,In force,2018.0,,,Unknown,,"https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf
https://www.hcdn.gob.ar/proyectos/proyecto.jsp?exp=6963-D-2018",,,,,
211003170,ARG,Resolution 191-E/17 on Mandatory information on energy and emissions performance Argentina (2017),Resolution 191-E/17 on Mandatory information on energy and emissions performance ,Country,,Argentina,,,"Performance label, Information provision","Transport, Light-duty vehicles",Resolution 191-E/2017 established an obligation for vehicle traders to inform customers about CO2 emissions and fuel consumption standards,Energy efficiency,,In force,2017.0,,,Unknown,,"https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf
https://www.hcdn.gob.ar/proyectos/proyecto.jsp?exp=6963-D-2018",,,,,
211003171,ARG,Resolution 1156/04 on National Programme for Biofuels Argentina (2004),Resolution 1156/04 on National Programme for Biofuels,Country,,Argentina,,,Regulatory Instruments,Transport,"In 2004, the Ministry of Agriculture createdthe National ProgrammeforBiofuels (Resolution1156/04), which defines objectives to promote the use of biofuels as an alternative to fossil fuels. A central part of the programmeis to support rural development in the execution of biofuels projects(biodiesel and bioethanol).",Renewables,,In force,2004.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003172,ARG,Decree 331/2017 and 51/2018 on Reduced import tariffs for Evs Argentina (2017),Decree 331/2017 and 51/2018 on Reduced import tariffs for Evs,Country,,Argentina,,,Tax relief,"Transport, Low-emissions mobility",Decree 331/2017 and 51/2018,Other low-carbon technologies and fuel switch,,In force,2017.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003173,ARG,ForestAR 2030 Argentina (2018),ForestAR 2030,Country,,Argentina,,,Strategic planning,"Agriculture and forestry, Forestry",Sustainable forestry strategy for 2030. Revised in 2019.,"Energy service demand reduction and resource efficiency, Non-energy use, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,In force,2018.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003176,ARG,Decree N. 246/2019 National plan for avoidance of food losses and waste Argentina (2019),Decree N. 246/2019 National plan for avoidance of food losses and waste,Country,,Argentina,,,"Product standards, Strategic planning",Agriculture and forestry,Decrete 246/2019,"Energy service demand reduction and resource efficiency, Non-energy use, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,In force,2019.0,,,Unknown,,https://climateactiontracker.org/documents/540/CAT_2019-09-05_ScalingUp_ARGENTINA_FullReport_ENG.pdf,,,,,
211003180,IDN,Regulation on energy standards for buildings Indonesia (2005),Regulation on energy standards for buildings,Country,,Indonesia,,,"Building codes and standards, Product standards, Monitoring, Auditing","Buildings, Appliances, Construction","Concerns building envelop, air conditioning, lighting appliances, and energy audit procedure",Energy efficiency,,In force,2005.0,,,Unknown,,https://climateactiontracker.org/countries/indonesia/current-policy-projections/,,,,,
211003182,IDN,Buildings Law Indonesia (2002),Buildings Law,Country,,Indonesia,,,Building codes and standards,"Buildings, Construction","Law No. 28/2002 on Buildings regulates building functions, building requirements, building process, the role of the community and government, and sanctions for non-compliance. All buildings within the Republic of Indonesia are subject to the law. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2002.0,,,Unknown,,https://www.iea.org/policies/94-buildings-law-no-282002?country=Indonesia&page=1&q=building&year=desc,,,,,
211003183,IDN,Ministerial Regulation No.2 on Green Building Indonesia (2015),Ministerial Regulation No.2 on Green Building,Country,,Indonesia,,,"Fiscal or financial incentives, Tax relief","Buildings, Construction","The incentives comprised in this regulation include: reduced permit and service fees, reduced land and building taxes, technical support and advice from green building experts, reward in form of certificate and promotion. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2015.0,,,Unknown,,https://www.iea.org/policies/7353-ministerial-regulation-no2-on-green-building?country=Indonesia&page=1&q=building&year=desc,,,,,
211003185,IDN,RSPO palm oil certification Indonesia (2004),RSPO palm oil certification,Country,,Indonesia,,,"Product standards, Voluntary approaches",Agriculture and forestry,The Roundtable of Sustainable Palm Oil (RSPO) certification scheme is voluntary,Renewables,,In force,2004.0,,,Unknown,,http://www.efeca.com/wp-content/uploads/2016/03/Efeca_PO-Standards-Comparison-.pdf,,,,,
